name,inner,thickness,quantity
G-30,29.4,3.1,1
G-55,54.4,3.1,20
G-65,64.4,3.1,6
G-80,79.4,3.1,2
G-90,89.4,3.1,1
G-100,99.4,3.1,1
G-115,114.4,3.1,7
G-120,119.4,3.1,7
G-125,124.4,3.1,4
G-130,129.4,3.1,6
G-135,134.4,3.1,7
G-155,154.3,5.7,1
G-175,174.3,5.7,7
G-180 1A,179.3,5.7,1
G-190 1A,189.5,5.7,1
G-210,209.3,5.7,5
G-220,219.3,5.7,6
G-230,224.3,5.7,1
G-250,249.3,5.7,7
G-275,274.3,5.7,1
G-280,279.3,5.7,9
G-295,294.3,5.7,1
G-300,299.3,5.7,5
G-305,304.3,5.7,8
G-310,309.3,5.7,3
P-3,2.8,1.9,3
P-4,3.8,1.9,19
P-5,4.8,1.9,2
P-6 1A (NH3),5.8,1.9,9
P-6 4D,5.8,1.9,15
P-7,6.8,1.9,7
P-10 1A,9.8,1.9,11
P-10 1A (NH3),9.8,1.9,5
P-10 4D,9.8,1.9,2
P-11,10.8,2.4,8
P-14,13.8,2.4,3
P-16 4D,15.8,2.4,9
P-17,16.8,2.4,18
P-18,17.8,2.4,19
P-21 1A,20.8,2.4,4
P-21,20.8,2.4,12
P-24,23.7,3.5,4
P-25.5,25.2,3.5,1
P-25.5 4D,25.2,3.5,3
P-26,25.7,3.5,7
P-32,31.7,3.5,1
P-34,33.7,3.5,7
P-38,37.7,3.5,12
P-38,37.7,3.5,6
P-54,53.5,2,3
S-3 1A,1.5,1.5,2
S-3,2.5,1.5,37
S-4,3.5,1.5,3
S-6,5.5,1.5,6
S-10,9.5,1.5,2
S-12,11.5,1.5,1
S-12.5,12,1.5,1
S-14,13.5,1.5,3
S-15,14.5,1.5,5
S-16,15.5,1.5,2
S-18,17.5,1.5,5
S-20,19.5,1.5,1
S-22,21.5,1.5,2
S-24,23.5,2,2
S-25,24.5,2,5
S-26,25.5,2,2
S-28,27.5,2,4
S-29,28.5,2,2
S-30,29.5,2,11
S-32,31.5,2,7
S-35,34.5,2,2
S-36,35.5,2,4
S-40,39.5,2,2
S-42,41.5,2,4
S-50,49.5,2,7
S-53,52.5,2,3
S-75,74.5,2,1
