,,,
name,inner,thickness,quantity
G-30,,,1
G-55,,,20
G-65,,,6
G-80,,,2
G-90,,,1
G-10,,,1
G-115,,,7
G-120,,,7
G-125,,,4
G-130,,,6
G-135,,,7
G-155,,,1
G-175,,,7
G-180 1A,,,1
G-190 1A,,,1
G-210,,,5
G-220,,,6
G-230,,,1
G-250,,,7
G-275,,,1
G-280,,,9
G-295,,,1
G-300,,,5
G-305,,,8
G-310,,,3
,,,
P-3,,,3
P-4,,,19
P-5,,,2
P-6 1A (NH3),,,9
P-6 4D,,,15
P-7,,,7
P-10 1A,,,11
P-10 1A (NH3),,,5
P-10 4D,,,2
P-11,,,8
P-14,,,3
P-16 4D,,,9
P-17,,,18
P-18,,,19
P-21 1A,,,4
P-21,,,12
P-24,,,4
P-25.5,,,1
P-25.5 4D,,,3
P-34,,,7
P-38,,,12
P-38,,,6
P-54,,,3
,,,
,,,
S-3 1A,,,2
S-3,,,37
S-4,,,3
S-6,,,6
S-10,,,2
S-12,,,1
S-12.5,,,1
S-14,,,3
S-15,,,5
S-16,,,2
S-18,,,5
S-20,,,1
S-22,,,2
S-24,,,2
S-25,,,5
S-26,,,2
S-28,,,4
S-29,,,2
S-30,,,11
S-32,,,7
S-35,,,2
S-36,,,4
S-40,,,2
S-42,,,4
S-50,,,7
S-53,,,3
S-75,,,1
